,Unnamed: 0,Name,Location,overall_rating,Num_Reviews,Cuisines,Score,rest_id,Score_New,Score_
119,119,Dark Horse,York,,51,"Bar, Bar Food",0.108539999,119,3.542699993,608.539999
26,26,Patisserie La Cigogne,Davisville Village,,50,"Bakery, Café, Bakery, Cafe, French",0.130677635,26,3.653388176,630.677635
28,28,Jake's on Main,Markham,,50,American,0.221523656,28,4.10761828,721.523656
97,97,New York Cafe,The Danforth,3.8,50,"American, Canadian",0.095194589,97,3.475972947,595.194589
105,105,Markham Sushi,Markham,,50,"Japanese, Sushi",0.241890895,105,4.209454476,741.890895
1,1,Lemongrass,Davisville Village,3.8,49,Thai,0.137878314,1,3.68939157,637.878314
24,24,The Cupcake Shoppe,Yonge & Eglinton,,49,"Dessert Parlor, Desserts, Bakery",0.195549405,24,3.977747026,695.549405
36,36,Brock House,Whitby,,49,American,0.037062358,36,3.185311792,537.062358
48,48,Wimpy's Diner,North York,3.7,49,Diner,0.093791606,48,3.46895803,593.791606
44,44,JP's Pita Deli,Clarington,,48,"Quick Bites, Mediterranean, Middle Eastern, Sandwich",0.219471658,44,4.097358292,719.471658
103,103,Mackenzie's,Bloor West Village,3.7,48,"Bar, Bar Food, Burger",0.159815048,103,3.79907524,659.815048
106,106,Zane Patisserie & Boulangerie,The Beaches,,48,"Dessert Parlor, Desserts",0.265706213,106,4.328531065,765.706213
68,68,Nove Ristorante,Woodbridge,3.9,47,Italian,0.201337061,68,4.006685303,701.337061
69,69,Darvish,Downtown Yonge,3.8,47,Iranian,0.232025594,69,4.160127969,732.025594
85,85,Ichiriki,Church and Wellesley,3.9,47,Sushi,0.217048115,85,4.085240575,717.048115
100,100,OBQ Burgers,Etobicoke,3.9,47,"Quick Bites, Burger, Grill, Fish and Chips",0.248611146,100,4.243055728,748.611146
12,12,Akimi Japanese Cuisine,Richmond Hill,3.8,46,"Sushi, Japanese",0.145890532,12,3.729452662,645.890532
15,15,Mama's Boys Burgers,Scarborough,,46,"Quick Bites, Burger, Canadian",0.205543287,15,4.027716434,705.543287
22,22,Calabash Caribbean Cuisine,Mississauga,3.9,46,"Caribbean, West Indian",0.115725763,22,3.578628816,615.725763
38,38,Montreal Deli,Mississauga,3.9,45,"Deli, Italian",0.20892317,38,4.044615851,708.92317
58,58,Ma Maison,Etobicoke,3.9,45,"Bakery, Café, Bakery, French, Cafe, Desserts",0.160003455,58,3.800017276,660.003455
71,71,Affy's Premium Grill,Pickering,3.8,45,"BBQ, Burger, Steak",0.042880279,71,3.214401396,542.880279
89,89,Sunrise Grill & Crepe,Roncesvalles Village,3.9,45,Grill,0.0490206,89,3.245103002,549.0206
121,121,Ithaca,Markham,3.8,45,"Greek, Mediterranean",0.073787627,121,3.368938136,573.787627
8,8,Salute Piano Bar and Restaurant,Yorkville,,44,"Bar, European, Italian",0.143668737,8,3.718343687,643.668737
19,19,Mad Mexican,Runnymede,3.5,44,Mexican,0.17335817,19,3.86679085,673.35817
20,20,Krepesz,Kensington-Chinatown,3.8,44,"Café, Lounge, Cafe, Hungarian",0.216603225,20,4.083016127,716.603225
49,49,Eggsmart,Discovery District,3.5,44,Diner,0.156265368,49,3.781326839,656.265368
80,80,Avenue Open Kitchen,Fashion District,3.8,43,"Quick Bites, Deli, Fast Food",0.202625848,80,4.013129238,702.625848
102,102,Casa Di Giorgio Ristorante,Leslieville,3.9,43,"Italian, Mediterranean, Pizza",0.201868764,102,4.009343821,701.868764
110,110,Megas,The Danforth,3.7,43,Greek,0.064504048,110,3.322520241,564.504048
0,0,Sunshine Spot,North York,3.6,42,"Diner, Canadian",0.1482094,0,3.741047,648.2094
9,9,Joy Thai Restaurant,Bedford Park,,42,"Thai, Asian",0.286966194,9,4.434830968,786.966194
17,17,Old Country Inn,Markham,3.8,42,"Austrian, European",0.154465611,17,3.772328056,654.465611
81,81,Satay On The Road,North York,3.8,42,"Thai, Malaysian, Asian",0.090068817,81,3.450344083,590.068817
92,92,Piacere Ristorante,Woodbridge,3.8,42,Italian,0.170698728,92,3.853493641,670.698728
159,159,Z-Teca,Garden District,3.9,42,"Quick Bites, Tex-Mex",0.12484375,159,3.62421875,624.84375
18,18,Harpers Landing,Oakville,3.5,40,"Canadian, Grill",0.240088388,18,4.200441938,740.088388
41,41,Ichiban Fish House,Richmond Hill,3.7,40,"Quick Bites, Sushi, Japanese",0.1945667,41,3.972833501,694.5667
50,50,Yoshiko Sushi,Thornhill,3.9,40,"Sushi, Japanese, Asian",0.137922811,50,3.689614054,637.922811
83,83,Forget About It! Supper Club,Entertainment District,3.5,40,Italian,0.172308162,83,3.861540811,672.308162
